Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Amari Murry,,,,,,,
Project,AM-PVP L- Carbon disulfide-Cyclohexane-1,2dichlorobenzene-Xylene,,,,,,
Reactor1,14.9 mg/ml PVP L in  Carbon disulfide,,,,,,,
Reactor2,14.9 mg/ml PVP L in Cyclohexane,,,,,,,
Reactor3,15.1 mg/ml PVP L in 1,2dichlorobenzene,,,,,,
Reactor4,15.1 mg/ml PVP L in Xylene,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,MW 14K,,,,,,,
polymer_ids,PVP L:32,,,,,,,
solvent_ids,Carbon disulfide:30,Cyclohexane:32,"1,2dichlorobenzene:39",Xylene:38,,,,
Start of Experiment,11/17/23 13:12,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,D,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,17, sec,,,,
Tune,,,,,,,,
Stir (Bottom) at,900, rpm,,,,,,
11/17/23 16:44,3:31:55,25.3,25.4,100,53,100,100,0
11/17/23 16:44,3:31:56,25.3,25.4,100,53,100,100,0
11/17/23 16:44,3:31:57,25.2,25.4,100,53,100,100,0
11/17/23 16:44,3:31:58,25.2,25.3,100,53,100,100,0
11/17/23 16:44,3:32:00,25.2,25.3,100,53,100,100,0
11/17/23 16:44,3:32:01,25.2,25.3,100,53,100,100,0
11/17/23 16:44,3:32:02,25.2,25.3,100,53,100,100,0
11/17/23 16:44,3:32:03,25.2,25.3,100,53,100,100,0
11/17/23 16:44,3:32:06,25.2,25.3,100,53,100,100,0
11/17/23 16:44,3:32:07,25.2,25.3,100,53,100,100,0
11/17/23 16:44,3:32:08,25.2,25.3,100,53,100,100,0
11/17/23 16:44,3:32:09,25.1,25.2,100,53,100,100,0
11/17/23 16:44,3:32:13,25.1,25.2,100,53,100,100,0
11/17/23 16:44,3:32:14,25.1,25.2,100,53,100,100,0
11/17/23 16:44,3:32:16,25.1,25.2,100,53,100,100,0
11/17/23 16:44,3:32:18,25.1,25.2,100,53,100,100,0
11/17/23 16:44,3:32:19,25.1,25.1,100,53,100,100,0
11/17/23 16:44,3:32:20,25.1,25.1,100,53,100,100,0
11/17/23 16:44,3:32:21,25,25.2,100,53,100,100,0
11/17/23 16:44,3:32:22,25,25.1,100,53,100,100,0
11/17/23 16:44,3:32:23,25,25.1,100,53,100,100,0
11/17/23 16:45,3:32:29,25,25.1,100,53,100,100,0
11/17/23 16:45,3:32:30,25,25,100,53,100,100,0
11/17/23 16:45,3:32:32,25,25,100,53,100,100,0
11/17/23 16:45,3:32:33,24.9,25.1,100,53,100,100,0
11/17/23 16:45,3:32:34,24.9,25,100,53,100,100,0
11/17/23 16:45,3:32:35,24.9,25,100,53,100,100,0
11/17/23 16:45,3:32:36,24.9,25,100,53,100,100,0
11/17/23 16:45,3:32:38,24.9,25,100,53,100,100,0
11/17/23 16:45,3:32:39,24.9,25,100,53,100,100,0
11/17/23 16:45,3:32:40,24.9,24.9,100,53,100,100,0
11/17/23 16:45,3:32:41,24.9,24.9,100,53,100,100,0
11/17/23 16:45,3:32:43,24.9,24.9,100,53,100,100,0
11/17/23 16:45,3:32:44,24.8,24.9,100,53,100,100,0
11/17/23 16:45,3:32:45,24.8,24.9,100,53,100,100,0
11/17/23 16:45,3:32:46,24.8,24.9,100,53,100,100,0
11/17/23 16:45,3:32:49,24.8,24.9,100,53,100,100,0
11/17/23 16:45,3:32:51,24.8,24.9,100,53,100,100,0
11/17/23 16:45,3:32:52,24.8,24.9,100,53,100,100,0
11/17/23 16:45,3:32:53,24.8,24.8,100,53,100,100,0
11/17/23 16:45,3:32:55,24.8,24.8,100,53,100,100,0
11/17/23 16:45,3:32:57,24.7,24.8,100,53,100,100,0
11/17/23 16:45,3:32:58,24.7,24.8,100,53,100,100,0
11/17/23 16:45,3:33:01,24.7,24.8,100,53,100,100,0
11/17/23 16:45,3:33:03,24.7,24.8,100,53,100,100,0
11/17/23 16:45,3:33:04,24.7,24.7,100,53,100,100,0
11/17/23 16:45,3:33:05,24.7,24.8,100,53,100,100,0
11/17/23 16:45,3:33:06,24.7,24.7,100,53,100,100,0
11/17/23 16:45,3:33:09,24.6,24.7,100,53,100,100,0
11/17/23 16:45,3:33:17,24.6,24.7,100,53,100,100,0
11/17/23 16:45,3:33:18,24.6,24.6,100,53,100,100,0
11/17/23 16:45,3:33:21,24.5,24.6,100,53,100,100,0
11/17/23 16:45,3:33:27,24.5,24.6,100,53,100,100,0
11/17/23 16:45,3:33:28,24.5,24.5,100,53,100,100,0
11/17/23 16:46,3:33:33,24.4,24.5,100,53,100,100,0
11/17/23 16:46,3:33:41,24.4,24.5,100,53,100,100,0
11/17/23 16:46,3:33:42,24.4,24.4,100,53,100,100,0
11/17/23 16:46,3:33:45,24.3,24.4,100,53,100,100,0
11/17/23 16:46,3:33:50,24.3,24.4,100,53,100,100,0
11/17/23 16:46,3:33:51,24.3,24.3,100,53,100,100,0
11/17/23 16:46,3:33:56,24.2,24.3,100,53,100,100,0
11/17/23 16:46,3:34:02,24.2,24.3,100,53,100,100,0
11/17/23 16:46,3:34:03,24.2,24.2,100,53,100,100,0
11/17/23 16:46,3:34:09,24.1,24.2,100,53,100,100,0
11/17/23 16:46,3:34:16,24.1,24.2,100,53,100,100,0
11/17/23 16:46,3:34:17,24.1,24.1,100,53,100,100,0
11/17/23 16:46,3:34:21,24,24.1,100,53,100,100,0
11/17/23 16:46,3:34:28,24,24.1,100,53,100,100,0
11/17/23 16:47,3:34:29,24,24,100,53,100,100,0
11/17/23 16:47,3:34:33,23.9,24,100,53,100,100,0
11/17/23 16:47,3:34:40,23.9,24,100,53,100,100,0
11/17/23 16:47,3:34:41,23.9,23.9,100,53,100,100,0
11/17/23 16:47,3:34:45,23.8,23.9,100,53,100,100,0
11/17/23 16:47,3:34:47,23.8,23.9,100,53,100,100,0
11/17/23 16:47,3:34:48,23.8,23.9,100,53,100,100,0
11/17/23 16:47,3:34:52,23.8,23.9,100,53,100,100,0
11/17/23 16:47,3:34:53,23.8,23.8,100,53,100,100,0
11/17/23 16:47,3:34:57,23.7,23.8,100,53,100,100,0
11/17/23 16:47,3:35:02,23.7,23.8,100,53,100,100,0
11/17/23 16:47,3:35:03,23.7,23.7,100,53,100,100,0
11/17/23 16:47,3:35:04,23.7,23.8,100,53,100,100,0
11/17/23 16:47,3:35:05,23.7,23.7,100,53,100,100,0
11/17/23 16:47,3:35:07,23.7,23.7,100,53,100,100,0
11/17/23 16:47,3:35:08,23.6,23.7,100,53,100,100,0
11/17/23 16:47,3:35:09,23.6,23.7,100,53,100,100,0
11/17/23 16:47,3:35:10,23.6,23.7,100,53,100,100,0
11/17/23 16:47,3:35:13,23.6,23.7,100,53,100,100,0
11/17/23 16:47,3:35:14,23.6,23.7,100,53,100,100,0
11/17/23 16:47,3:35:15,23.6,23.7,100,53,100,100,0
11/17/23 16:47,3:35:16,23.6,23.6,100,53,100,100,0
11/17/23 16:47,3:35:19,23.6,23.6,100,53,100,100,0
11/17/23 16:47,3:35:20,23.5,23.6,100,53,100,100,0
11/17/23 16:47,3:35:27,23.5,23.6,100,53,100,100,0
11/17/23 16:47,3:35:28,23.5,23.5,100,53,100,100,0
11/17/23 16:48,3:35:31,23.5,23.5,100,53,100,100,0
11/17/23 16:48,3:35:33,23.4,23.5,100,53,100,100,0
11/17/23 16:48,3:35:34,23.4,23.5,100,53,100,100,0
11/17/23 16:48,3:35:36,23.4,23.5,100,53,100,100,0
11/17/23 16:48,3:35:37,23.4,23.5,100,53,100,100,0
11/17/23 16:48,3:35:39,23.4,23.5,100,53,100,100,0
11/17/23 16:48,3:35:40,23.4,23.5,100,53,100,100,0
11/17/23 16:48,3:35:41,23.4,23.4,100,53,100,100,0
11/17/23 16:48,3:35:42,23.4,23.4,100,53,100,100,0
11/17/23 16:48,3:35:43,23.4,23.4,100,53,100,100,0
11/17/23 16:48,3:35:44,23.4,23.4,100,53,100,100,0
11/17/23 16:48,3:35:45,23.3,23.4,100,53,100,100,0
11/17/23 16:48,3:35:48,23.3,23.4,100,53,100,100,0
11/17/23 16:48,3:35:49,23.3,23.4,100,53,100,100,0
11/17/23 16:48,3:35:50,23.3,23.4,100,53,100,100,0
11/17/23 16:48,3:35:51,23.3,23.4,100,53,100,100,0
11/17/23 16:48,3:35:52,23.3,23.3,100,53,100,100,0
11/17/23 16:48,3:35:53,23.3,23.3,100,53,100,100,0
11/17/23 16:48,3:35:54,23.3,23.3,100,53,100,100,0
11/17/23 16:48,3:35:56,23.3,23.3,100,53,100,100,0
11/17/23 16:48,3:35:57,23.2,23.3,100,53,100,100,0
11/17/23 16:48,3:35:58,23.2,23.3,100,53,100,100,0
11/17/23 16:48,3:35:59,23.2,23.3,100,53,100,100,0
11/17/23 16:48,3:36:00,23.2,23.3,100,53,100,100,0
11/17/23 16:48,3:36:01,23.2,23.3,100,53,100,100,0
11/17/23 16:48,3:36:02,23.2,23.3,100,53,100,100,0
11/17/23 16:48,3:36:03,23.2,23.3,100,53,100,100,0
11/17/23 16:48,3:36:04,23.2,23.2,100,53,100,100,0
11/17/23 16:48,3:36:05,23.2,23.2,100,53,100,100,0
11/17/23 16:48,3:36:07,23.2,23.2,100,53,100,100,0
11/17/23 16:48,3:36:08,23.1,23.2,100,53,100,100,0
11/17/23 16:48,3:36:09,23.1,23.2,100,53,100,100,0
11/17/23 16:48,3:36:10,23.1,23.2,100,53,100,100,0
11/17/23 16:48,3:36:11,23.1,23.2,100,53,100,100,0
11/17/23 16:48,3:36:13,23.1,23.2,100,53,100,100,0
11/17/23 16:48,3:36:14,23.1,23.2,100,53,100,100,0
11/17/23 16:48,3:36:15,23.1,23.1,100,53,100,100,0
11/17/23 16:48,3:36:16,23.1,23.1,100,53,100,100,0
11/17/23 16:48,3:36:17,23.1,23.1,100,53,100,100,0
11/17/23 16:48,3:36:18,23.1,23.1,100,53,100,100,0
11/17/23 16:48,3:36:19,23.1,23.1,100,53,100,100,0
11/17/23 16:48,3:36:20,23,23.1,100,53,100,100,0
11/17/23 16:48,3:36:22,23,23.1,100,53,100,100,0
11/17/23 16:48,3:36:23,23,23.1,100,53,100,100,0
11/17/23 16:48,3:36:24,23,23.1,100,53,100,100,0
11/17/23 16:48,3:36:26,23,23.1,100,53,100,100,0
11/17/23 16:48,3:36:27,23,23.1,100,53,100,100,0
11/17/23 16:48,3:36:28,23,23.1,100,53,100,100,0
11/17/23 16:49,3:36:29,23,23,100,53,100,100,0
11/17/23 16:49,3:36:31,23,23,100,53,100,100,0
11/17/23 16:49,3:36:32,22.9,23,100,53,100,100,0
11/17/23 16:49,3:36:34,22.9,23,100,53,100,100,0
11/17/23 16:49,3:36:35,22.9,23,100,53,100,100,0
11/17/23 16:49,3:36:36,22.9,23,100,53,100,100,0
11/17/23 16:49,3:36:38,22.9,23,100,53,100,100,0
11/17/23 16:49,3:36:39,22.9,23,100,53,100,100,0
11/17/23 16:49,3:36:40,22.9,23,100,53,100,100,0
11/17/23 16:49,3:36:41,22.9,22.9,100,53,100,100,0
11/17/23 16:49,3:36:42,22.9,22.9,100,53,100,100,0
11/17/23 16:49,3:36:43,22.9,22.9,100,53,100,100,0
11/17/23 16:49,3:36:44,22.9,22.9,100,53,100,100,0
11/17/23 16:49,3:36:45,22.8,22.9,100,53,100,100,0
11/17/23 16:49,3:36:46,22.8,22.9,100,53,100,100,0
11/17/23 16:49,3:36:47,22.8,22.9,100,53,100,100,0
11/17/23 16:49,3:36:49,22.8,22.9,100,53,100,100,0
11/17/23 16:49,3:36:51,22.8,22.9,100,53,100,100,0
11/17/23 16:49,3:36:52,22.8,22.8,100,53,100,100,0
11/17/23 16:49,3:36:53,22.8,22.9,100,53,100,100,0
11/17/23 16:49,3:36:54,22.8,22.8,100,53,100,100,0
11/17/23 16:49,3:36:55,22.8,22.8,100,53,100,100,0
11/17/23 16:49,3:36:56,22.8,22.8,100,53,100,100,0
11/17/23 16:49,3:36:57,22.7,22.8,100,53,100,100,0
11/17/23 16:49,3:37:04,22.7,22.8,100,53,100,100,0
11/17/23 16:49,3:37:05,22.7,22.7,100,53,100,100,0
11/17/23 16:49,3:37:07,22.7,22.7,100,53,100,100,0
11/17/23 16:49,3:37:08,22.7,22.7,100,53,100,100,0
11/17/23 16:49,3:37:09,22.6,22.7,100,53,100,100,0
11/17/23 16:49,3:37:11,22.6,22.7,100,53,100,100,0
11/17/23 16:49,3:37:12,22.6,22.7,100,53,100,100,0
11/17/23 16:49,3:37:15,22.6,22.7,100,53,100,100,0
11/17/23 16:49,3:37:16,22.6,22.7,100,53,100,100,0
11/17/23 16:49,3:37:17,22.6,22.6,100,53,100,100,0
11/17/23 16:49,3:37:18,22.6,22.7,100,53,100,100,0
11/17/23 16:49,3:37:19,22.6,22.6,100,53,100,100,0
11/17/23 16:49,3:37:21,22.5,22.6,100,53,100,100,0
11/17/23 16:49,3:37:25,22.5,22.6,100,53,100,100,0
11/17/23 16:49,3:37:27,22.5,22.6,100,53,100,100,0
11/17/23 16:49,3:37:28,22.5,22.5,100,53,100,100,0
11/17/23 16:50,3:37:32,22.4,22.5,100,53,100,100,0
11/17/23 16:50,3:37:40,22.4,22.5,100,53,100,100,0
11/17/23 16:50,3:37:41,22.4,22.4,100,53,100,100,0
11/17/23 16:50,3:37:44,22.3,22.4,100,53,100,100,0
11/17/23 16:50,3:37:51,22.3,22.4,100,53,100,100,0
11/17/23 16:50,3:37:52,22.3,22.3,100,53,100,100,0
11/17/23 16:50,3:37:56,22.2,22.3,100,53,100,100,0
11/17/23 16:50,3:37:57,22.2,22.3,100,53,100,100,0
11/17/23 16:50,3:37:59,22.2,22.3,100,53,100,100,0
11/17/23 16:50,3:38:05,22.2,22.3,100,53,100,100,0
11/17/23 16:50,3:38:06,22.2,22.2,100,53,100,100,0
11/17/23 16:50,3:38:09,22.1,22.2,100,53,100,100,0
11/17/23 16:50,3:38:14,22.1,22.2,100,53,100,100,0
11/17/23 16:50,3:38:15,22.1,22.2,100,53,100,100,0
11/17/23 16:50,3:38:17,22.1,22.2,100,53,100,100,0
11/17/23 16:50,3:38:18,22.1,22.1,100,53,100,100,0
11/17/23 16:50,3:38:21,22,22.1,100,53,100,100,0
11/17/23 16:50,3:38:27,22,22.1,100,53,100,100,0
11/17/23 16:50,3:38:28,22,22.1,100,53,100,100,0
11/17/23 16:51,3:38:29,22,22.1,100,53,100,100,0
11/17/23 16:51,3:38:30,22,22,100,53,100,100,0
11/17/23 16:51,3:38:33,21.9,22,100,53,100,100,0
11/17/23 16:51,3:38:40,21.9,22,100,53,100,100,0
11/17/23 16:51,3:38:41,21.9,21.9,100,53,100,100,0
11/17/23 16:51,3:38:44,21.8,21.9,100,53,100,100,0
11/17/23 16:51,3:38:46,21.8,21.9,100,53,100,100,0
11/17/23 16:51,3:38:47,21.8,21.9,100,53,100,100,0
11/17/23 16:51,3:38:52,21.8,21.9,100,53,100,100,0
11/17/23 16:51,3:38:53,21.8,21.8,100,53,100,100,0
11/17/23 16:51,3:38:56,21.7,21.8,100,53,100,100,0
11/17/23 16:51,3:39:01,21.7,21.8,100,53,100,100,0
11/17/23 16:51,3:39:02,21.7,21.8,100,53,100,100,0
11/17/23 16:51,3:39:04,21.7,21.8,100,53,100,100,0
11/17/23 16:51,3:39:05,21.7,21.7,100,53,100,100,0
11/17/23 16:51,3:39:08,21.6,21.7,100,53,100,100,0
11/17/23 16:51,3:39:16,21.6,21.7,100,53,100,100,0
11/17/23 16:51,3:39:17,21.6,21.6,100,53,100,100,0
11/17/23 16:51,3:39:20,21.5,21.6,100,53,100,100,0
11/17/23 16:51,3:39:22,21.5,21.6,100,53,100,100,0
11/17/23 16:51,3:39:23,21.5,21.6,100,53,100,100,0
11/17/23 16:51,3:39:24,21.5,21.6,100,53,100,100,0
11/17/23 16:51,3:39:26,21.5,21.6,100,53,100,100,0
11/17/23 16:52,3:39:29,21.5,21.6,100,53,100,100,0
11/17/23 16:52,3:39:30,21.5,21.5,100,53,100,100,0
11/17/23 16:52,3:39:33,21.4,21.5,100,53,100,100,0
11/17/23 16:52,3:39:37,21.4,21.5,100,53,100,100,0
11/17/23 16:52,3:39:38,21.4,21.5,100,53,100,100,0
11/17/23 16:52,3:39:40,21.4,21.5,100,53,100,100,0
11/17/23 16:52,3:39:41,21.4,21.5,100,53,100,100,0
11/17/23 16:52,3:39:42,21.4,21.5,100,53,100,100,0
11/17/23 16:52,3:39:43,21.4,21.4,100,53,100,100,0
11/17/23 16:52,3:39:44,21.4,21.4,100,53,100,100,0
11/17/23 16:52,3:39:45,21.3,21.4,100,53,100,100,0
11/17/23 16:52,3:39:46,21.3,21.4,100,53,100,100,0
11/17/23 16:52,3:39:49,21.3,21.4,100,53,100,100,0
11/17/23 16:52,3:39:50,21.3,21.4,100,53,100,100,0
11/17/23 16:52,3:39:52,21.3,21.4,100,53,100,100,0
11/17/23 16:52,3:39:53,21.3,21.3,100,53,100,100,0
11/17/23 16:52,3:39:56,21.2,21.3,100,53,100,100,0
11/17/23 16:52,3:39:58,21.2,21.3,100,53,100,100,0
11/17/23 16:52,3:40:03,21.2,21.3,100,53,100,100,0
11/17/23 16:52,3:40:04,21.2,21.3,100,53,100,100,0
11/17/23 16:52,3:40:05,21.2,21.2,100,53,100,100,0
11/17/23 16:52,3:40:07,21.2,21.2,100,53,100,100,0
11/17/23 16:52,3:40:08,21.1,21.2,100,54,100,100,0
11/17/23 16:52,3:40:09,21.1,21.2,100,54,100,100,0
11/17/23 16:52,3:40:10,21.1,21.2,100,54,100,100,0
11/17/23 16:52,3:40:11,21.1,21.2,100,53,100,100,0
11/17/23 16:52,3:40:12,21.1,21.2,100,54,100,100,0
11/17/23 16:52,3:40:13,21.1,21.2,100,53,100,100,0
11/17/23 16:52,3:40:14,21.1,21.2,100,53,100,100,0
11/17/23 16:52,3:40:15,21.1,21.2,100,54,100,100,0
11/17/23 16:52,3:40:16,21.1,21.2,100,54,100,100,0
11/17/23 16:52,3:40:17,21.1,21.2,100,53,100,100,0
11/17/23 16:52,3:40:18,21.1,21.1,100,54,100,100,0
11/17/23 16:52,3:40:20,21,21.1,100,54,100,100,0
11/17/23 16:52,3:40:21,21,21.1,100,54,100,100,0
11/17/23 16:52,3:40:23,21,21.1,100,54,100,100,0
11/17/23 16:52,3:40:24,21,21.1,100,54,100,100,0
11/17/23 16:52,3:40:25,21,21.1,100,54,100,100,0
11/17/23 16:52,3:40:26,21,21.1,100,54,100,100,0
11/17/23 16:52,3:40:27,21,21.1,100,54,100,100,0
11/17/23 16:52,3:40:28,21,21,100,54,100,100,0
11/17/23 16:53,3:40:30,21,21,100,54,100,100,0
11/17/23 16:53,3:40:31,21,21,100,54,100,100,0
11/17/23 16:53,3:40:32,20.9,21,100,54,100,100,0
11/17/23 16:53,3:40:33,20.9,21,100,54,100,100,0
11/17/23 16:53,3:40:34,20.9,21,100,54,100,100,0
11/17/23 16:53,3:40:36,20.9,21,100,54,100,100,0
11/17/23 16:53,3:40:37,20.9,21,100,54,100,100,0
11/17/23 16:53,3:40:38,20.9,21,100,54,100,100,0
11/17/23 16:53,3:40:39,20.9,21,100,54,100,100,0
11/17/23 16:53,3:40:40,20.9,20.9,100,54,100,100,0
11/17/23 16:53,3:40:45,20.8,20.9,100,54,100,100,0
11/17/23 16:53,3:40:46,20.8,20.9,100,54,100,100,0
11/17/23 16:53,3:40:47,20.8,20.9,100,54,100,100,0
11/17/23 16:53,3:40:48,20.8,20.9,100,54,100,100,0
11/17/23 16:53,3:40:52,20.8,20.9,100,54,100,100,0
11/17/23 16:53,3:40:53,20.8,20.9,100,54,100,100,0
11/17/23 16:53,3:40:54,20.8,20.8,100,54,100,100,0
11/17/23 16:53,3:40:57,20.7,20.8,100,54,100,100,0
11/17/23 16:53,3:41:05,20.7,20.8,100,54,100,100,0
11/17/23 16:53,3:41:06,20.7,20.7,100,54,100,100,0
11/17/23 16:53,3:41:09,20.6,20.7,100,54,100,100,0
11/17/23 16:53,3:41:11,20.6,20.7,100,54,100,100,0
11/17/23 16:53,3:41:12,20.6,20.7,100,54,100,100,0
11/17/23 16:53,3:41:13,20.6,20.7,100,54,100,100,0
11/17/23 16:53,3:41:15,20.6,20.7,100,54,100,100,0
11/17/23 16:53,3:41:16,20.6,20.6,100,54,100,100,0
11/17/23 16:53,3:41:20,20.5,20.6,100,54,100,100,0
11/17/23 16:53,3:41:26,20.5,20.6,100,54,100,100,0
11/17/23 16:53,3:41:27,20.5,20.6,100,54,100,100,0
11/17/23 16:53,3:41:28,20.5,20.5,100,54,100,100,0
11/17/23 16:54,3:41:30,20.5,20.5,100,54,100,100,0
11/17/23 16:54,3:41:31,20.5,20.5,100,54,100,100,0
11/17/23 16:54,3:41:32,20.4,20.5,100,54,100,100,0
11/17/23 16:54,3:41:39,20.4,20.5,100,54,100,100,0
11/17/23 16:54,3:41:40,20.4,20.4,100,54,100,100,0
11/17/23 16:54,3:41:42,20.4,20.4,100,54,100,100,0
11/17/23 16:54,3:41:43,20.4,20.4,100,54,100,100,0
11/17/23 16:54,3:41:44,20.3,20.4,100,54,100,100,0
11/17/23 16:54,3:41:45,20.3,20.4,100,54,100,100,0
11/17/23 16:54,3:41:49,20.3,20.4,100,54,100,100,0
11/17/23 16:54,3:41:51,20.3,20.4,100,54,100,100,0
11/17/23 16:54,3:41:52,20.3,20.4,100,54,100,100,0
11/17/23 16:54,3:41:53,20.3,20.3,100,54,100,100,0
11/17/23 16:54,3:41:56,20.2,20.3,100,54,100,100,0
11/17/23 16:54,3:41:57,20.2,20.3,100,54,100,100,0
11/17/23 16:54,3:41:58,20.2,20.3,100,54,100,100,0
11/17/23 16:54,3:41:59,20.2,20.3,100,54,100,100,0
11/17/23 16:54,3:42:01,20.2,20.3,100,54,100,100,0
11/17/23 16:54,3:42:02,20.2,20.3,100,54,100,100,0
11/17/23 16:54,3:42:04,20.2,20.3,100,54,100,100,0
11/17/23 16:54,3:42:05,20.2,20.2,100,54,100,100,0
11/17/23 16:54,3:42:07,20.2,20.2,100,54,100,100,0
11/17/23 16:54,3:42:08,20.2,20.2,100,54,100,100,0
11/17/23 16:54,3:42:09,20.1,20.2,100,54,100,100,0
11/17/23 16:54,3:42:12,20.1,20.2,100,54,100,100,0
11/17/23 16:54,3:42:14,20.1,20.2,100,54,100,100,0
11/17/23 16:54,3:42:15,20.1,20.2,100,54,100,100,0
11/17/23 16:54,3:42:16,20.1,20.2,100,54,100,100,0
11/17/23 16:54,3:42:17,20.1,20.1,100,54,100,100,0
11/17/23 16:54,3:42:21,20,20.1,100,54,100,100,0
11/17/23 16:54,3:42:24,20,20.1,100,54,100,100,0
11/17/23 16:54,3:42:25,20,20.1,100,54,100,100,0
11/17/23 16:54,3:42:26,20,20.1,100,54,100,100,0
11/17/23 16:54,3:42:27,20,20.1,100,54,100,100,0
11/17/23 16:54,3:42:28,20,20,100,54,100,100,0
11/17/23 16:55,3:42:31,20,20,100,54,100,100,0
11/17/23 16:55,3:42:32,19.9,20,100,54,100,100,0
11/17/23 16:55,3:42:33,19.9,20,100,54,100,100,0
11/17/23 16:55,3:42:34,19.9,20,100,54,100,100,0
11/17/23 16:55,3:42:35,19.9,20,100,54,100,100,0
11/17/23 16:55,3:42:36,19.9,20,100,54,100,100,0
11/17/23 16:55,3:42:37,19.9,20,100,54,100,100,0
11/17/23 16:55,3:42:38,19.9,20,100,54,100,100,0
11/17/23 16:55,3:42:40,19.9,20,100,54,100,100,0
11/17/23 16:55,3:42:41,19.9,19.9,100,54,100,100,0
11/17/23 16:55,3:42:42,19.9,19.9,100,54,100,100,0
11/17/23 16:55,3:42:44,19.8,19.9,100,54,100,100,0
11/17/23 16:55,3:42:45,19.8,19.9,100,54,100,100,0
11/17/23 16:55,3:42:46,19.8,19.9,100,54,100,100,0
11/17/23 16:55,3:42:48,19.8,19.9,100,54,100,100,0
11/17/23 16:55,3:42:49,19.8,19.9,100,54,100,100,0
11/17/23 16:55,3:42:50,19.8,19.9,100,54,100,100,0
11/17/23 16:55,3:42:51,19.8,19.8,100,54,100,100,0
11/17/23 16:55,3:42:53,19.8,19.8,100,54,100,100,0
11/17/23 16:55,3:42:54,19.8,19.8,100,54,100,100,0
11/17/23 16:55,3:42:55,19.8,19.8,100,54,100,100,0
11/17/23 16:55,3:42:56,19.7,19.8,100,54,100,100,0
11/17/23 16:55,3:42:57,19.7,19.8,100,54,100,100,0
11/17/23 16:55,3:42:59,19.7,19.8,100,54,100,100,0
11/17/23 16:55,3:43:00,19.7,19.8,100,54,100,100,0
11/17/23 16:55,3:43:01,19.7,19.8,100,54,100,100,0
11/17/23 16:55,3:43:02,19.7,19.8,100,54,100,100,0
11/17/23 16:55,3:43:04,19.7,19.8,100,54,100,100,0
11/17/23 16:55,3:43:05,19.7,19.7,100,54,100,100,0
11/17/23 16:55,3:43:06,19.7,19.7,100,54,100,100,0
11/17/23 16:55,3:43:07,19.7,19.7,100,54,100,100,0
11/17/23 16:55,3:43:08,19.6,19.7,100,54,100,100,0
11/17/23 16:55,3:43:14,19.6,19.7,100,54,100,100,0
11/17/23 16:55,3:43:15,19.6,19.7,100,54,100,100,0
11/17/23 16:55,3:43:16,19.6,19.7,100,54,100,100,0
11/17/23 16:55,3:43:17,19.6,19.6,100,54,100,100,0
11/17/23 16:55,3:43:18,19.6,19.6,100,54,100,100,0
11/17/23 16:55,3:43:20,19.5,19.6,100,54,100,100,0
11/17/23 16:56,3:43:30,19.5,19.6,100,54,100,100,0
11/17/23 16:56,3:43:31,19.5,19.5,100,54,100,100,0
11/17/23 16:56,3:43:33,19.4,19.5,100,54,100,100,0
11/17/23 16:56,3:43:42,19.4,19.5,100,54,100,100,0
11/17/23 16:56,3:43:43,19.4,19.4,100,54,100,100,0
11/17/23 16:56,3:43:44,19.3,19.4,100,54,100,100,0
11/17/23 16:56,3:43:45,19.3,19.4,100,54,100,100,0
11/17/23 16:56,3:43:46,19.3,19.4,100,54,100,100,0
11/17/23 16:56,3:43:53,19.3,19.4,100,54,100,100,0
11/17/23 16:56,3:43:54,19.3,19.3,100,54,100,100,0
11/17/23 16:56,3:43:56,19.2,19.3,100,54,100,100,0
11/17/23 16:56,3:44:05,19.2,19.3,100,54,100,100,0
11/17/23 16:56,3:44:06,19.2,19.2,100,54,100,100,0
11/17/23 16:56,3:44:08,19.1,19.2,100,54,100,100,0
11/17/23 16:56,3:44:16,19.1,19.2,100,54,100,100,0
11/17/23 16:56,3:44:17,19.1,19.1,100,54,100,100,0
11/17/23 16:56,3:44:20,19,19.1,100,54,100,100,0
11/17/23 16:56,3:44:27,19,19.1,100,54,100,100,0
11/17/23 16:56,3:44:28,19,19.1,100,54,100,100,0
11/17/23 16:57,3:44:29,19,19,100,54,100,100,0
11/17/23 16:57,3:44:32,18.9,19,100,54,100,100,0
11/17/23 16:57,3:44:40,18.9,19,100,54,100,100,0
11/17/23 16:57,3:44:41,18.9,18.9,100,54,100,100,0
11/17/23 16:57,3:44:44,18.8,18.9,100,54,100,100,0
11/17/23 16:57,3:44:46,18.8,18.9,100,54,100,100,0
11/17/23 16:57,3:44:47,18.8,18.9,100,54,100,100,0
11/17/23 16:57,3:44:49,18.8,18.9,100,54,100,100,0
11/17/23 16:57,3:44:51,18.8,18.9,100,54,100,100,0
11/17/23 16:57,3:44:53,18.8,18.9,100,54,100,100,0
11/17/23 16:57,3:44:54,18.8,18.8,100,54,100,100,0
11/17/23 16:57,3:44:56,18.7,18.8,100,54,100,100,0
11/17/23 16:57,3:45:06,18.7,18.8,100,54,100,100,0
